Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
1959,2454,1382,789,206,40,36,0.82
1960,2569,1410,849,227,43,39,0.85
1961,2580,1349,904,240,45,42,0.83
1962,2686,1351,980,263,49,44,0.85
1963,2833,1396,1052,286,51,47,0.88
1964,2995,1435,1137,316,57,51,0.91
1965,3130,1460,1219,337,59,55,0.94
1966,3288,1478,1323,364,63,60,0.96
1967,3393,1448,1423,392,65,66,0.98
1968,3566,1448,1551,424,70,73,1.00
1969,3780,1486,1673,467,74,80,1.04
1970,4053,1556,1839,493,78,87,1.10
1971,4208,1559,1947,530,84,88,1.11
1972,4376,1576,2057,560,89,95,1.14
1973,4614,1581,2241,588,95,110,1.17
1974,4623,1579,2245,597,96,107,1.15
1975,4596,1673,2132,604,95,92,1.13
1976,4864,1710,2314,630,103,108,1.17
1977,5016,1756,2398,650,108,104,1.19
1978,5074,1780,2392,680,116,106,1.18
1979,5357,1875,2544,721,119,98,1.22
1980,5301,1935,2422,737,120,86,1.19
1981,5138,1908,2289,755,121,65,1.13
1982,5094,1976,2196,738,121,64,1.10
1983,5075,1977,2176,739,125,58,1.08
1984,5258,2074,2199,807,128,51,1.10
1985,5417,2216,2186,835,131,49,1.11
1986,5583,2277,2293,830,137,46,1.12
1987,5725,2339,2306,892,143,44,1.13
1988,5936,2387,2412,935,152,50,1.15
1989,6066,2428,2459,982,156,41,1.16
1990,6065,2359,2492,1026,148,40,1.14
1991,6133,2284,2601,1051,152,45,1.13
1992,6072,2290,2499,1085,161,36,1.10
1993,6063,2225,2515,1117,169,37,1.08
1994,6168,2278,2539,1133,180,39,1.09
1995,6300,2359,2560,1151,192,39,1.10
1996,6442,2382,2626,1198,197,40,1.10
1997,6549,2409,2701,1197,202,40,1.11
1998,6568,2343,2763,1224,201,36,1.10
1999,6554,2310,2741,1258,210,35,1.08
2000,6725,2327,2845,1289,218,46,1.09
2001,6886,2445,2848,1316,230,47,1.11
2002,6986,2518,2832,1342,244,49,1.11
2003,7368,2695,2958,1397,268,48,1.15
2004,7734,2906,3043,1443,289,54,1.20
2005,8033,3108,3068,1485,311,60,1.23
2006,8324,3293,3091,1534,344,62,1.26
2007,8491,3422,3071,1562,370,66,1.27
2008,8766,3587,3103,1630,378,69,1.29
2009,8689,3590,3042,1584,407,66,1.26
2010,9121,3812,3107,1696,439,67,1.31
2011,9495,4055,3134,1756,486,64,1.35
2012,9667,4106,3200,1783,513,65,1.36
2013,9765,4126,3220,1806,546,68,1.35
2014,9848,4117,3280,1823,561,68,1.35
2015,9831,4006,3346,1866,545,68,1.33
2016,9875,3950,3406,1899,552,68,1.32
